"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3109014";"";"None";"423.51";"0";"2.47";"6c-5";"OC[C@H]1O[C@@H](n2cc(Cc3ccc(C4CCC4)cc3)c3ccccc32)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"18.79";"0.35";"5.49";"8.37";"0";"CHEMBL3110615";"Inhibition of human SGLT2-mediated [14C]-AMG uptake expressed in CHOK cells preincubated for 10 mins followed by [14C]-AMG addition measured after 120 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHOK";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3108724";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";"";"";"11.0"
"CHEMBL590752";"";"None";"452.92";"0";"1.87";"BDBM50308452";"Cc1ccoc1-c1nnc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)s1";"IC50";"'='";"106.0";"nM";"6.97";"";"220647";"UO_0000065";"15.40";"0.32";"5.10";"5.40";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"106.0"
"CHEMBL590021";"";"None";"505.02";"1";"3.18";"BDBM50308464";"OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3nnc(-c4cc5ccccc5s4)s3)c2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"44.5";"nM";"7.35";"";"220650";"UO_0000065";"14.56";"0.30";"4.17";"6.34";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"44.5"
"CHEMBL592686";"";"None";"451.93";"0";"1.30";"BDBM50308457";"Cn1cccc1-c1nnc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)s1";"IC50";"'='";"119.0";"nM";"6.92";"";"220655";"UO_0000065";"15.32";"0.32";"5.62";"5.73";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"119.0"
"CHEMBL606689";"";"None";"462.96";"0";"2.27";"BDBM102997";"Cc1ccc(-c2nnc(Cc3cc(C4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)s2)cc1";"IC50";"'='";"103.0";"nM";"6.99";"";"220666";"UO_0000065";"15.09";"0.31";"4.72";"6.03";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"103.0"
"CHEMBL3679692";"";"None";"483.03";"0";"2.67";"BDBM103000";"CC1CCC(Cc2nnc(Cc3cc(C4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)s2)CC1";"IC50";"'='";"460.0";"nM";"6.34";"";"220669";"UO_0000065";"13.12";"0.27";"3.67";"5.47";"0";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"460.0"
"CHEMBL591738";"";"None";"402.86";"0";"0.31";"BDBM50308435";"COc1nnc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)s1";"IC50";"'='";"146.0";"nM";"6.84";"";"220685";"UO_0000065";"16.97";"0.36";"6.53";"5.46";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"146.0"
"CHEMBL1085297";"";"None";"424.88";"0";"1.02";"BDBM50319040";"CCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)nn1";"IC50";"'='";"70.8";"nM";"7.15";"";"220696";"UO_0000065";"16.83";"0.34";"6.13";"5.71";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"70.8"
"CHEMBL1085769";"";"None";"466.96";"0";"2.19";"BDBM50319045";"CCCCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)nn1";"IC50";"'='";"17.3";"nM";"7.76";"";"220699";"UO_0000065";"16.62";"0.33";"5.57";"6.20";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"17.3"
"CHEMBL1085272";"";"None";"443.89";"0";"1.30";"BDBM50319067";"OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(-c4cccnc4)nn3)c2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"64.9";"nM";"7.19";"";"220708";"UO_0000065";"16.19";"0.32";"5.89";"5.58";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"64.9"
"CHEMBL1085271";"";"None";"472.93";"0";"1.91";"BDBM50319066";"COc1cccc(-c2ccc(Cc3cc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)nn2)c1";"IC50";"'='";"351.0";"nM";"6.46";"";"220715";"UO_0000065";"13.65";"0.27";"4.54";"5.16";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"351.0"
"CHEMBL1085529";"";"None";"436.94";"0";"1.97";"BDBM50319057";"CCCCCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)nn1";"IC50";"'='";"134.0";"nM";"6.87";"";"220722";"UO_0000065";"15.73";"0.31";"4.90";"5.93";"1";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"134.0"
"CHEMBL3679702";"";"None";"367.79";"0";"-0.37";"BDBM103011";"OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3nccnn3)c2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"261.0";"nM";"6.58";"";"220733";"UO_0000065";"17.90";"0.36";"6.95";"5.11";"0";"CHEMBL3705355";"Inhibition Assay: Inhibition assay using hSGLT2.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638573";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"261.0"
"CHEMBL3639552";"";"None";"478.93";"0";"1.93";"BDBM119377";"CCOc1ccc(Cc2cc([C@]34OC[C@](COC(C)=O)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1";"IC50";"'='";"5.0";"nM";"8.30";"";"246114";"UO_0000065";"17.33";"0.34";"6.37";"7.24";"0";"CHEMBL3705074";"Biological Assays: The SGLT2 functional assay was designed to detect the inhibition of methyl-alpha-D glucopyranoside (AMG a non-metabolizable form of glucose) uptake via the SGLT2 transporter. The SGLT2 transporter recovers glucose from the proximal tubules of the kidney; its inhibition results in sugar wasted in the urine. The positive control compound, Phlorizin, is a known inhibitor of glucose uptake for SGLT2 and was used for comparing the high percent effect of SGLT2 inhibition of the test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639107";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"5.0"
"CHEMBL245067";"PHLORIZIN";"None";"436.41";"1";"-0.20";"Phlorizin";"O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"17.86";"0.34";"8.00";"4.40";"0";"CHEMBL2051076";"Inhibition of human SGLT2 expressed in CHO-K1 cells by [14C]AMG uptake assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046440";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307512";"";"";"";"16.0"
"CHEMBL2048489";"";"None";"402.49";"0";"1.13";"5e";"CCc1ccc(Cc2cc([C@]3(O)C[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2OC)cc1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"17.39";"0.33";"5.87";"6.34";"0";"CHEMBL2051076";"Inhibition of human SGLT2 expressed in CHO-K1 cells by [14C]AMG uptake assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046440";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307512";"";"";"";"100.0"
"CHEMBL200394";"";"None";"429.47";"0";"1.14";"10c";"COc1ccc(CCc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1";"IC50";"'='";"163.0";"nM";"6.79";"";"";"UO_0000065";"15.81";"0.30";"5.65";"5.46";"0";"CHEMBL863286";"Inhibitory activity towards human SGLT2 expressed in CHO-K1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL3884";"Sodium/glucose cotransporter 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141232";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307512";"";"";"";"0.163"
