Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL5404247;;;569.6;1.0;4.16;29;CC1CN(c2cccc(OCc3ccc(C#N)cc3F)n2)C=NN1Cc1nc2ccc(C(=O)O)cc2n1C[C@@H]1CCO1;EC50;'=';0.6;nM;9.22;;;UO_0000065;;;;;0;CHEMBL5344082;Agonist activity at N-terminal HA-tagged human GLP-1R expressed in HEK293 cells assessed as effect on intracellular cAMP accumulation incubated for 30 mins by LANCA ultra cAMP assay;F;BAO_0000219;cell-based format;Homo sapiens;;;HEK293;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL5338823;1;Scientific Literature;J Med Chem;2023;;TIME = 0.5 hr;AGONIST;;0.6
CHEMBL5407160;;;619.05;2.0;5.61;47;Cc1cc2c(Cl)ccc(COc3cccc(N4C=NN(Cc5nc6c(F)cc(C(=O)O)cc6n5C[C@@H]5CCO5)CC4)n3)c2o1;EC50;'=';0.019;nM;10.72;;;UO_0000065;;;;;0;CHEMBL5344082;Agonist activity at N-terminal HA-tagged human GLP-1R expressed in HEK293 cells assessed as effect on intracellular cAMP accumulation incubated for 30 mins by LANCA ultra cAMP assay;F;BAO_0000219;cell-based format;Homo sapiens;;;HEK293;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL5338823;1;Scientific Literature;J Med Chem;2023;;TIME = 0.5 hr;AGONIST;;19.0
CHEMBL410575;;;3935.5;;;31;CCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)O)C(C)C)[C@@H](C)CC)C(C)C)C(=O)O)C(=O)O;EC50;'=';0.115;nM;9.94;;;UO_0000065;2.53;;;;0;CHEMBL677178;Potency measured using recombinant human GLP-1 receptor expressed in Baby Hamster Kidney (BHK)cells;B;BAO_0000219;cell-based format;;;;;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL1133591;1;Scientific Literature;J Med Chem;2000;;;;;115.0
CHEMBL409270;;;3979.51;;;34;CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)O)C(C)C)[C@@H](C)CC)C(C)C)C(=O)O)C(=O)O;EC50;'=';0.0272;nM;10.57;;;UO_0000065;2.65;;;;0;CHEMBL677178;Potency measured using recombinant human GLP-1 receptor expressed in Baby Hamster Kidney (BHK)cells;B;BAO_0000219;cell-based format;;;;;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL1133591;1;Scientific Literature;J Med Chem;2000;;;;;27.2
CHEMBL4084119;LIRAGLUTIDE;4.0;3751.26;;;liraglutide;CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O;EC50;'=';0.0093;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL3110983;Activation of human GLP-1 receptor overexpressed in HEK293 cells assessed as cAMP accumulation after 20 mins by HTRF assay;F;BAO_0000219;cell-based format;Homo sapiens;;;HEK293;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL3108706;1;Scientific Literature;J Med Chem;2013;CHEMBL3307715;;;;9.3
CHEMBL3110310;;;3920.34;;;13b;CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CSC1CC(=O)N(CCCCCC(=O)Nc2ccc(C(c3c(O)c4ccccc4oc3=O)c3c(O)c4ccccc4oc3=O)cc2)C1=O)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(N)=O)C(C)C;EC50;'=';0.0336;nM;10.47;;;UO_0000065;;;;;0;CHEMBL3110983;Activation of human GLP-1 receptor overexpressed in HEK293 cells assessed as cAMP accumulation after 20 mins by HTRF assay;F;BAO_0000219;cell-based format;Homo sapiens;;;HEK293;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL3108706;1;Scientific Literature;J Med Chem;2013;CHEMBL3307715;;;;33.6
CHEMBL576320;;;1423.55;;;8;Cc1ccc(-c2ccc(C[C@H](NC(=O)[C@H](Cc3ccc(-c4ccccc4)cc3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc3cnc[nH]3)[C@@H](C)O)[C@@H](C)O)C(N)=O)cc2)cc1;EC50;'=';270.0;nM;6.57;;;UO_0000065;;;;;0;CHEMBL1048996;Agonist activity at human GLP1R expressed in CHO cells assessed as stimulation of intracellular [3H]cAMP accumulation after 30 mins by scintillation proximity assay;F;BAO_0000219;cell-based format;Homo sapiens;;;CHO;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL1156009;1;Scientific Literature;J Med Chem;2009;CHEMBL3308072;;;;270.0
CHEMBL576987;;;1437.58;;;11;Cc1cccc(-c2ccc(C[C@H](NC(=O)[C@H](Cc3ccc(-c4ccccc4C)cc3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc3cnc[nH]3)[C@@H](C)O)[C@@H](C)O)C(N)=O)cc2)c1;EC50;'=';87.0;nM;7.06;;;UO_0000065;;;;;0;CHEMBL1048996;Agonist activity at human GLP1R expressed in CHO cells assessed as stimulation of intracellular [3H]cAMP accumulation after 30 mins by scintillation proximity assay;F;BAO_0000219;cell-based format;Homo sapiens;;;CHO;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL1156009;1;Scientific Literature;J Med Chem;2009;CHEMBL3308072;;;;87.0
CHEMBL577126;;;1467.6;;;16;COc1ccc(-c2ccc(C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc3cnc[nH]3)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](Cc3ccc(-c4ccccc4C)cc3)C(N)=O)cc2)c(C)c1;EC50;'=';35.0;nM;7.46;;;UO_0000065;;;;;0;CHEMBL1048996;Agonist activity at human GLP1R expressed in CHO cells assessed as stimulation of intracellular [3H]cAMP accumulation after 30 mins by scintillation proximity assay;F;BAO_0000219;cell-based format;Homo sapiens;;;CHO;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL1156009;1;Scientific Literature;J Med Chem;2009;CHEMBL3308072;;;;35.0
CHEMBL577346;;;1545.66;;;22;CCc1cc(OC)ccc1-c1ccc(C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@](C)(Cc2c(F)cccc2F)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](N)Cc2cnc[nH]2)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3C)cc2)C(N)=O)cc1;EC50;'=';0.093;nM;10.03;;;UO_0000065;;;;;0;CHEMBL1048996;Agonist activity at human GLP1R expressed in CHO cells assessed as stimulation of intracellular [3H]cAMP accumulation after 30 mins by scintillation proximity assay;F;BAO_0000219;cell-based format;Homo sapiens;;;CHO;;;;;CHEMBL1784;Glucagon-like peptide 1 receptor;Homo sapiens;SINGLE PROTEIN;CHEMBL1156009;1;Scientific Literature;J Med Chem;2009;CHEMBL3308072;;;;0.093
